Polling firm,Date,T-Days,R,SV,MDG,Ap,Sp,V,KrF,H,FrP,Others,Sample size
Kantar TNS,9 Sep 2017,-2,3.1,5.6,3.9,28.1,10.2,4.6,4.4,23.8,14.6,1.7,2998
Kantar TNS,8 Sep 2017,-3,3.3,5.5,4.0,28.6,10.5,3.9,4.3,23.4,15.2,1.3,2002
InFact,7 Sep 2017,-4,3.3,8.1,4.4,28.0,10.7,5.2,4.7,21.5,12.6,1.5,2165
Opinion Perduco,7 Sep 2017,-4,4.9,6.0,5.7,26.4,8.6,2.5,3.4,25.9,15.3,1.3,952
Kantar TNS,7 Sep 2017,-4,3.0,5.7,3.7,28.1,10.1,4.1,5.0,23.4,15.2,1.8,2003
Norfakta,6 Sep 2017,-5,3.1,5.0,4.5,26.3,10.5,4.2,5.3,25.8,13.8,0.0,1001
Ipsos MMI,6 Sep 2017,-5,3.5,6.2,4.4,27.2,9.4,4.7,4.2,23.2,15.3,2.1,971
Respons Analyse,6 Sep 2017,-5,3.1,7.3,2.7,25.6,9.9,4.5,5.5,24.7,14.3,2.4,1000
Kantar TNS,6 Sep 2017,-5,2.9,5.7,3.7,27.0,10.3,4.3,4.5,24.8,14.8,2.0,2004
Kantar TNS,5 Sep 2017,-6,3.6,5.7,3.4,27.5,9.6,4.7,4.4,24.4,14.7,2.0,2007
InFact,4 Sep 2017,-7,3.8,5.5,3.9,29.3,10.0,3.9,5.1,23.4,12.8,2.3,2103
Norstat,4 Sep 2017,-7,3.2,5.9,4.6,25.8,9.6,3.5,4.5,24.2,17.0,1.6,1421
Kantar TNS,4 Sep 2017,-7,3.4,5.1,3.8,26.5,10.9,4.8,4.4,24.5,14.3,2.2,1905
Kantar TNS,1 Sep 2017,-10,3.6,4.8,3.5,26.1,11.0,4.3,3.8,26.1,14.7,2.2,2008
InFact,31 Aug 2017,-11,3.1,6.6,4.8,29.0,11.2,3.4,5.5,21.5,13.0,2.0,2032
Kantar TNS,31 Aug 2017,-11,3.3,5.3,3.2,27.1,11.1,3.8,4.1,25.0,14.9,2.4,1991
Respons Analyse,30 Aug 2017,-12,2.4,6.2,4.7,26.1,8.8,4.9,5.4,23.9,16.6,1.0,1003
Kantar TNS,30 Aug 2017,-12,2.8,5.9,3.5,26.7,11.1,3.6,4.2,24.7,15.4,2.0,1997
