Polling firm,Client,"Date","Sample size",Lab,Con,Lib Dem,Others,Lead
Ipsos MORI,Evening Standard,5 May,"1,216",29%,36%,27%,8%,7%
YouGov,The Sun,5 May,"6,483",28%,35%,28%,9%,7%
Harris Interactive,Daily Mail,5 May,"4,014",29%,35%,27%,7%,6%
Populus Archived 25 July 2018 at the Wayback Machine,The Times,5 May,"2,505",28%,37%,27%,8%,9%
Angus Reid Public Opinion,PoliticalBetting.com,5 May,"2,283",24%,36%,29%,11%,7%
Opinium,Daily Express,5 May,"1,383",27%,35%,26%,12%,8%
ComRes,"Multiple
ITV News
The Independent",5 May,"1,025",28%,37%,28%,7%,9%
ICM,The Guardian,4 May,"1,527",28%,36%,26%,10%,8%
YouGov,The Sun,4 May,"1,461",30%,35%,24%,11%,5%
TNS-BMRB,N/A,4 May,"1,864",27%,33%,29%,11%,4%
Harris Interactive,The Metro,4 May,786,26%,36%,28%,10%,8%
ComRes,"Multiple
ITV News
The Independent",3 May,"1,024",29%,37%,26%,8%,8%
YouGov,The Sun,3 May,"1,455",28%,35%,28%,9%,7%
Opinium,Daily Express,3 May,"1,870",28%,33%,27%,12%,5%
YouGov,The Sun,2 May,"1,475",28%,34%,29%,9%,5%
ComRes,"Multiple
ITV News
The Independent",2 May,"1,024",29%,37%,26%,8%,8%
ICM,The Guardian,2 May,"1,026",28%,33%,28%,12%,5%
YouGov,The Sunday Times,1 May,"1,483",27%,35%,28%,10%,7%
ComRes,"Multiple
The Independent
Sunday Mirror",1 May,"1,019",28%,38%,25%,9%,10%
YouGov,The Sun,30 Apr,"1,412",28%,34%,28%,10%,6%
ICM,The Sunday Telegraph,30 Apr,"1,019",29%,36%,27%,8%,7%
Angus Reid Public Opinion,Sunday Express,30 Apr,"1,874",23%,35%,29%,13%,6%
YouGov,The Sun,29 Apr,"1,623",27%,34%,28%,11%,6%
YouGov,The Sun,28 Apr,"1,530",27%,34%,31%,8%,3%
YouGov,The Sun,27 Apr,"1,598",29%,33%,28%,10%,4%
ComRes,"Multiple
ITV News
The Independent",27 Apr,"1,006",29%,36%,26%,9%,7%
Populus,The Times,27 Apr,"1,510",27%,36%,28%,8%,8%
TNS-BMRB,N/A,27 Apr,"2,078",27%,34%,30%,9%,4%
YouGov,The Sun,26 Apr,"1,491",28%,33%,29%,10%,4%
ComRes,"Multiple
ITV News
The Independent",26 Apr,"1,005",29%,33%,29%,9%,4%
Opinium,Daily Express,26 Apr,"1,942",25%,34%,28%,13%,6%
Angus Reid Public Opinion,The Economist,26 Apr,"2,433",23%,33%,30%,14%,3%
Harris Interactive,The Metro,26 Apr,"1,678",25%,32%,30%,13%,2%
