Polling firm,Date,T-Days,LPC,CPC,NDP,BQ,Sample size
Léger,2004-06-24,-4,33.0,32.0,17.0,13.0,2407
SES,2004-06-24,-4,34.0,30.0,20.0,12.0,600
Ekos,2004-06-24,-4,32.6,31.8,19.0,11.2,4159
Ipsos,2004-06-23,-5,32.0,31.0,17.0,12.0,2000
Compass,2004-06-23,-5,34.0,33.0,15.0,13.0,800
SES,2004-06-23,-5,34.0,30.0,21.0,12.0,600
SES,2004-06-22,-6,34.0,31.0,21.0,12.0,600
Environics,2004-06-22,-6,33.0,33.0,18.0,11.0,1444
SES,2004-06-21,-7,34.0,31.0,21.0,10.0,600
Ipsos,2004-06-20,-8,34.0,28.0,16.0,13.0,1000
SES,2004-06-20,-8,33.0,33.0,18.0,12.0,600
Ipsos,2004-06-17,-11,29.0,32.0,16.0,12.0,1000
SES,2004-06-16,-12,32.0,32.0,21.0,12.0,600
Léger,2004-06-16,-12,34.0,35.0,16.0,12.0,612
Compas,2004-06-16,-12,35.0,34.0,17.0,11.0,600
Ipsos,2004-06-13,-15,31.0,32.0,17.0,12.0,1000
SES,2004-06-13,-15,33.0,34.0,18.0,11.0,600
SES,2004-06-10,-18,33.0,34.0,18.0,11.0,600
SES,2004-06-09,-19,32.0,37.0,17.0,10.0,600
Ekos,2004-06-09,-19,30.0,34.0,19.0,12.0,2117
SES,2004-06-08,-20,33.0,37.0,15.0,10.0,600
Ipsos,2004-06-08,-20,32.0,31.0,16.0,11.0,2003
SES,2004-06-07,-21,31.0,35.0,16.0,11.0,600
Léger,2004-06-07,-21,33.0,30.0,19.0,12.0,1500
Ipsos,2004-06-03,-25,32.0,31.0,17.0,11.0,1000
SES,2004-06-03,-25,37.0,34.0,17.0,9.0,600
SES,2004-06-02,-26,35.0,32.0,19.0,9.0,600
SES,2004-06-01,-27,37.0,29.0,19.0,11.0,600
Léger,2004-05-31,-28,35.0,30.0,17.0,12.0,2411
SES,2004-05-31,-28,36.0,25.0,22.0,13.0,600
SES,2004-05-30,-29,36.0,26.0,20.0,13.0,600
Ipsos,2004-05-30,-29,34.0,30.0,16.0,11.0,1000
SES,2004-05-29,-30,34.0,31.0,19.0,12.0,600
Ekos,2004-05-27,-32,38.0,30.0,18.0,11.0,1306
SES,2004-05-27,-32,40.0,31.0,16.0,10.0,600
SES,2004-05-26,-33,42.0,29.0,17.0,10.0,600
SES,2004-05-25,-34,41.0,28.0,18.0,11.0,600
