Polling firm,"Last date of polling",Link,CPC,LPC,NDP,BQ,GPC,PPC,Others,"Margin of error","Sample size",Polling method,Lead Polling firm,"Last date of polling",Link,,,,,,,Others,"Margin of error","Sample size",Polling method,Lead
Abacus Data,"December 12, 2023",,37,27,19,7,4,5,1,±2.3 pp,"1,919",online,10
Nanos Research,"December 8, 2023",,39.8,26.1,20.2,5.6,1.8,5.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),13.7
Nanos Research,"December 1, 2023",,40.4,23.4,21.2,6.3,1.9,5.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),17.0
Abacus Data,"November 28, 2023",,42,23,19,7,3,4,1,±2.0 pp,"2,417",online,19
Research Co.,"November 27, 2023",,38,24,21,9,2,4,1,±3.1 pp,"1,000",online,14
Leger,"November 26, 2023",,40,26,20,7,2,3,1,±2.51 pp,"1,529",online,14
Nanos Research,"November 24, 2023",,41.0,22.0,22.0,6.1,2.0,5.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),19.0
Abacus Data,"November 22, 2023",,39,24,20,8,4,5,1,±1.7 pp,"3,450",online,15
Ipsos,"November 17, 2023",,40,24,21,8,2,4,1,±3.8 pp,"1,000",online,16
Nanos Research,"November 17, 2023",,39,24,22,6,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),15
Angus Reid,"November 14, 2023",,41,27,20,7,1,4,1,±1.5 pp,"2,512",online,14
Abacus Data,"November 12, 2023",,41,25,19,6,4,3,—,±2.3 pp,"2,000",online,16
Nanos Research,"November 10, 2023",,40.3,22.4,20.3,6.7,2.1,7.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),17.9
Mainstreet Research,"November 6, 2023",,41.0,25.8,18.2,6.2,2.9,4.1,1.8,±2.3 pp,"1,892",IVR,15.2
Nanos Research,"November 3, 2023",,40,25,20,6,2,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),15
Abacus Data,"November 1, 2023",,39,26,18,7,4,5,1,±2.1 pp,"2,200",online,13
Innovative Research,"October 31, 2023",,38,24,20,7,4,5,—,—,"5,974",online,14
Leger,"October 29, 2023",,40,26,17,7,3,6,1,±2.4 pp,"1,632",online,14
Nanos Research,"October 27, 2023",,37.7,25.4,19.9,5.5,3.4,7.9,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12.3
Pallas Data,"October 22, 2023",,43,27,16,7,3,3,—,±2.5 pp,"1,484",IVR,16
Nanos Research,"October 20, 2023",,39.5,23.6,19.3,5.0,4.5,7.5,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),15.9
Angus Reid,"October 13, 2023",,39,28,21,7,1,3,1,±2 pp,"1,878",online,11
Nanos Research,"October 13, 2023",,40,25,19,5,3,7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),15
Mainstreet Research,"October 12, 2023",,41,27,17,6,3,3,2,±2.8 pp,"1,223",IVR,14
Abacus Data,"October 10, 2023",,40,26,19,7,—,5,—,±2.2 pp,"1,915",online,14
Nanos Research,"October 6, 2023",,38,26,20,6,3,7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),12
Abacus Data,"October 5, 2023",,39,26,18,7,5,4,—,±2.2 pp,"1,985",online,13
Nanos Research,"September 29, 2023",,37.9,26.5,21.2,6.2,2.0,5.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),11.4
Leger,"September 24, 2023",,39,27,18,7,2,4,2,±2.4 pp,"1,652",online,12
EKOS,"September 24, 2023",,42.1,22.9,17.9,6.4,2.9,6.9,0.9,±3.1 pp,"1,025",IVR,19.2
Nanos Research,"September 22, 2023",,35.6,28.6,21.4,7.3,1.7,5.1,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),7.0
Ipsos,"September 18, 2023",,39,30,17,8,2,3,2,±2.9 pp,"1,500",online,9
Nanos Research,"September 15, 2023",,34.9,28.9,22.2,7.1,1.8,4.7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6.0
Abacus Data,"September 13, 2023",,41,26,18,8,3,3,1,±2.1 pp,"2,125",online,15
Nanos Research,"September 8, 2023",,34.0,29.0,21.8,7.1,2.6,5.2,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),5.0
Angus Reid,"September 6, 2023",,39,27,19,8,2,4,0,±1.5 pp,"3,400",online,12
Research Co.,"September 4, 2023",,37,31,17,8,1,3,1,±3.1 pp,"1,000",online,6
Abacus Data,"September 4, 2023",,40,26,19,6,3,4,1,±1.7 pp,"3,595",online,14
Nanos Research,"September 1, 2023",,32,32,21,7,3,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),0
Leger,"August 27, 2023",,38,29,18,8,2,4,1,±2.5 pp,"1,597",online,9
Nanos Research,"August 25, 2023",,33,30,22,7,2,6,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),3
Mainstreet Research,"August 23, 2023",,41,28,15,7,3,4,3,±2.7 pp,"1,280",IVR,13
Abacus Data,"August 23, 2023",,38,26,19,7,4,4,—,±2.0 pp,"2,189",online,12
Nanos Research,"August 18, 2023",,34.1,29.5,19.8,7.2,2.4,6.8,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),4.6
Pallas Data,"August 17, 2023",,39.1,29.6,16.6,6.7,2.0,4.7,1.2,±3.1 pp,"1,021",IVR,9.5
Angus Reid,"August 11, 2023",,38,31,18,7,1,5,0,±2 pp,"1,606",online,7
Nanos Research,"August 11, 2023",,35,29,19,7,2,7,—,±3.1 pp,"1,000 (1/4)",telephone (rolling),6
